ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
276	3.25.20 19:42:13	3.25.20 19:42:49	anonymous		karantäne	Thüringen	Thüringen	31-40
277	3.25.20 19:46:16	3.25.20 19:46:53	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
278	3.25.20 19:48:46	3.25.20 19:49:07	anonymous		kwarantäne	Bayern	Berlin	18-30
279	3.25.20 19:51:51	3.25.20 19:52:11	anonymous		karantäne	Bayern	Bayern	18-30
280	3.25.20 19:58:22	3.25.20 19:59:28	anonymous		karantäne	Baden-Württemberg	Bayern	31-40
281	3.25.20 19:59:45	3.25.20 20:00:51	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
282	3.25.20 20:00:22	3.25.20 20:01:02	anonymous		kwarantäne	Bayern	Berlin	31-40
283	3.25.20 20:05:55	3.25.20 20:06:07	anonymous		kwarantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
284	3.25.20 20:06:35	3.25.20 20:07:28	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
285	3.25.20 20:08:55	3.25.20 20:09:13	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
286	3.25.20 20:11:15	3.25.20 20:11:57	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
287	3.25.20 20:12:51	3.25.20 20:13:23	anonymous		kwarantäne	Bayern	Sachsen	18-30
288	3.25.20 20:14:34	3.25.20 20:14:58	anonymous		karantäne	Schleswig-Holstein	Schleswig-Holstein	18-30
289	3.25.20 20:12:42	3.25.20 20:15:03	anonymous		karantäne	Nordrhein-Westfalen	Niedersachsen	51-60
290	3.25.20 20:16:01	3.25.20 20:17:42	anonymous		karantäne	Nordrhein-Westfalen	Berlin	61-70
291	3.25.20 20:19:03	3.25.20 20:19:23	anonymous		karantäne	Rheinland-Pfalz	Rheinland-Pfalz	18-30
