ID	Startzeit	Fertigstellungszeit	E-Mail	Name	Aussprache	Aufwachsen	Lebensmittelpunkt	Alter
451	3.26.20 20:09:55	3.26.20 20:10:30	anonymous		karantäne	Baden-Württemberg	Mecklenburg-Vorpommern	41-50
452	3.26.20 20:10:19	3.26.20 20:10:47	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
453	3.26.20 20:10:56	3.26.20 20:11:21	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
454	3.26.20 20:11:01	3.26.20 20:11:26	anonymous		karantäne	Nordrhein-Westfalen	Baden-Württemberg	51-60
455	3.26.20 20:11:03	3.26.20 20:11:36	anonymous		karantäne	Niedersachsen	Hamburg	41-50
456	3.26.20 20:11:19	3.26.20 20:11:44	anonymous		karantäne	Berlin	Berlin	31-40
457	3.26.20 20:11:34	3.26.20 20:12:20	anonymous		kwarantäne	Sachsen-Anhalt	Berlin	51-60
458	3.26.20 20:12:44	3.26.20 20:13:38	anonymous		karantäne	Sachsen	Baden-Württemberg	31-40
459	3.26.20 20:14:07	3.26.20 20:14:50	anonymous		karantäne	Nordrhein-Westfalen	Bayern	41-50
460	3.26.20 20:16:41	3.26.20 20:17:13	anonymous		kwarantäne	Bayern	Baden-Württemberg	31-40
461	3.26.20 20:15:40	3.26.20 20:17:22	anonymous		Kuarantäne	Berlin	Berlin	51-60
462	3.26.20 20:17:31	3.26.20 20:18:23	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
463	3.26.20 20:20:26	3.26.20 20:20:54	anonymous		kwarantäne	Niedersachsen	Berlin	31-40
464	3.26.20 20:21:04	3.26.20 20:21:26	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
465	3.26.20 20:22:11	3.26.20 20:22:41	anonymous		karantäne	Sachsen	Sachsen	31-40
466	3.26.20 20:22:47	3.26.20 20:23:14	anonymous		karantäne	Bayern	Bayern	51-60
467	3.26.20 20:25:53	3.26.20 20:26:52	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
468	3.26.20 20:29:02	3.26.20 20:29:38	anonymous		kwarantäne	Bayern	Baden-Württemberg	31-40
469	3.26.20 20:29:47	3.26.20 20:30:11	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
470	3.26.20 20:30:12	3.26.20 20:30:34	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
471	3.26.20 20:30:00	3.26.20 20:30:41	anonymous		karantäne	Hessen	Hessen	41-50
472	3.26.20 20:30:22	3.26.20 20:31:30	anonymous		karantäne	Hessen	Nordrhein-Westfalen	18-30
473	3.26.20 20:29:59	3.26.20 20:31:36	anonymous		karantäne	Berlin	Berlin	31-40
474	3.26.20 20:33:55	3.26.20 20:34:37	anonymous		karantäne	Schleswig-Holstein	Hamburg	31-40
475	3.26.20 20:34:38	3.26.20 20:35:03	anonymous		karantäne	Hamburg	Rheinland-Pfalz	18-30
476	3.26.20 20:37:27	3.26.20 20:38:27	anonymous		kwarantäne	Nordrhein-Westfalen	Berlin	41-50
477	3.26.20 20:41:54	3.26.20 20:42:45	anonymous		karantäne	Saarland	Saarland	41-50
478	3.26.20 20:46:45	3.26.20 20:47:52	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
479	3.26.20 20:49:45	3.26.20 20:50:23	anonymous		karantäne	Nordrhein-Westfalen	Berlin	31-40
480	3.26.20 20:50:08	3.26.20 20:50:39	anonymous		karantäne	Bayern	Bayern	31-40
481	3.26.20 20:51:17	3.26.20 20:51:59	anonymous		Krawatte	Hessen	Mecklenburg-Vorpommern	80+
482	3.26.20 20:53:08	3.26.20 20:54:01	anonymous		Mal so, mal so. Tendenz zu kw-	Hamburg	Baden-Württemberg	31-40
483	3.26.20 20:55:40	3.26.20 20:56:05	anonymous		karantäne	Bayern	Bayern	41-50
484	3.26.20 20:56:37	3.26.20 20:57:00	anonymous		karantäne	Hessen	Baden-Württemberg	41-50
485	3.26.20 21:01:35	3.26.20 21:02:24	anonymous		kwarantäne	Baden-Württemberg	Sachsen-Anhalt	41-50
486	3.26.20 21:01:45	3.26.20 21:02:31	anonymous		kwarantäne	Niedersachsen	Niedersachsen	31-40
487	3.26.20 21:04:33	3.26.20 21:05:04	anonymous		karantäne	Schleswig-Holstein	Norwegen	18-30
488	3.26.20 21:05:43	3.26.20 21:06:19	anonymous		karantäne	Rheinland-Pfalz	Berlin	41-50
489	3.26.20 21:09:12	3.26.20 21:09:46	anonymous		kwarantäne	Baden-Württemberg	Berlin	51-60
490	3.26.20 21:11:57	3.26.20 21:12:21	anonymous		kwarantäne	Bayern	Bayern	31-40
491	3.26.20 21:13:47	3.26.20 21:15:54	anonymous		karanteene	Berlin	Brandenburg	51-60
492	3.26.20 21:17:50	3.26.20 21:18:34	anonymous		kwarantäne	Bayern	Berlin	31-40
493	3.26.20 21:18:30	3.26.20 21:19:43	anonymous		karantäne	Niedersachsen	Berlin	31-40
494	3.26.20 21:41:18	3.26.20 21:41:38	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
495	3.26.20 21:47:01	3.26.20 21:47:27	anonymous		karantäne	Bayern	Bayern	31-40
496	3.26.20 21:53:28	3.26.20 21:54:01	anonymous		karantäne	Niedersachsen	Berlin	31-40
497	3.26.20 22:10:33	3.26.20 22:10:57	anonymous		karantäne	Rheinland-Pfalz	Rheinland-Pfalz	41-50
498	3.26.20 22:11:39	3.26.20 22:12:26	anonymous		karantäne	Sachsen-Anhalt	Sachsen-Anhalt	31-40
499	3.26.20 22:20:06	3.26.20 22:20:25	anonymous		karantäne	Hessen	Nordrhein-Westfalen	31-40
500	3.26.20 22:20:35	3.26.20 22:21:13	anonymous		karantäne	Niederlande 	Nordrhein-Westfalen	31-40
501	3.26.20 22:20:56	3.26.20 22:21:42	anonymous		karantäne	Rheinland-Pfalz	Nordrhein-Westfalen	41-50
502	3.26.20 22:29:06	3.26.20 22:29:54	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	61-70
503	3.26.20 22:32:46	3.26.20 22:33:16	anonymous		karantäne	Schleswig-Holstein	Sachsen	18-30
504	3.26.20 22:43:52	3.26.20 22:44:32	anonymous		kwarantäne	Sachsen	UK	41-50
505	3.26.20 22:47:32	3.26.20 22:48:04	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
506	3.26.20 22:51:26	3.26.20 22:52:00	anonymous		kwarantäne	Nordrhein-Westfalen	Thüringen	18-30
507	3.26.20 22:52:06	3.26.20 22:53:35	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	51-60
508	3.26.20 22:55:14	3.26.20 22:55:39	anonymous		kwarantäne	Bayern	Bayern	31-40
509	3.26.20 22:55:52	3.26.20 22:57:13	anonymous		kwarantäne	Nordrhein-Westfalen	Berlin	18-30
510	3.26.20 23:04:11	3.26.20 23:05:05	anonymous		kwarantäne	Bayern	Bayern	51-60
511	3.26.20 23:07:15	3.26.20 23:07:58	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
512	3.26.20 23:08:33	3.26.20 23:09:08	anonymous		karantäne	Hamburg	Hamburg	18-30
513	3.26.20 23:08:51	3.26.20 23:09:13	anonymous		kwarantäne	Brandenburg	Hessen	41-50
514	3.26.20 23:07:58	3.26.20 23:10:24	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
515	3.26.20 23:12:13	3.26.20 23:12:40	anonymous		karantäne	Bayern	Bayern	41-50
516	3.26.20 23:14:57	3.26.20 23:15:58	anonymous		karantäne	Baden-Württemberg	Sachsen	31-40
517	3.26.20 23:16:07	3.26.20 23:17:00	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
518	3.26.20 23:19:41	3.26.20 23:20:13	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
519	3.26.20 23:23:48	3.26.20 23:24:38	anonymous		karantäne	Nordrhein-Westfalen	Österreich	31-40
520	3.26.20 23:28:43	3.26.20 23:29:13	anonymous		karantäne	Nordrhein-Westfalen	Baden-Württemberg	31-40
521	3.26.20 23:57:43	3.26.20 23:58:22	anonymous		kwarantäne	Bayern	Bayern	41-50
522	3.27.20 0:02:49	3.27.20 0:03:14	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
523	3.27.20 0:08:39	3.27.20 0:09:05	anonymous		karantäne	Berlin	Berlin	18-30
524	3.27.20 0:12:50	3.27.20 0:13:25	anonymous		karantäne	Saarland	Nordrhein-Westfalen	31-40
525	3.27.20 0:22:35	3.27.20 0:30:51	anonymous		karantäne	Nordrhein-Westfalen	Berlin	31-40
526	3.27.20 1:04:03	3.27.20 1:04:34	anonymous		karantäne	Berlin	Berlin	31-40
527	3.27.20 1:15:38	3.27.20 1:16:22	anonymous		karantäne	Nordrhein-Westfalen	Berlin	41-50
528	3.27.20 1:27:30	3.27.20 1:27:55	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
529	3.27.20 1:33:52	3.27.20 1:34:27	anonymous		karantäne	Oberösterreich	Oberösterreich 	18-30
530	3.27.20 3:19:01	3.27.20 3:20:12	anonymous		karantäne	Nordrhein-Westfalen	Baden-Württemberg	18-30
531	3.27.20 4:11:57	3.27.20 4:13:29	anonymous		karantäne	Nordrhein-Westfalen	Rheinland-Pfalz	51-60
532	3.27.20 7:20:45	3.27.20 7:21:12	anonymous		kwarantäne	Thüringen	Thüringen	31-40
533	3.27.20 7:45:10	3.27.20 7:46:32	anonymous		karantäne	Sachsen	Sachsen	31-40
534	3.27.20 7:47:53	3.27.20 7:48:57	anonymous		karantäne	Rheinland-Pfalz	Nordrhein-Westfalen	18-30
535	3.27.20 8:04:29	3.27.20 8:05:19	anonymous		karantäne	Mecklenburg-Vorpommern	Sachsen	31-40
536	3.27.20 8:40:10	3.27.20 8:40:50	anonymous		karantäne	Thüringen	Thüringen	51-60
537	3.27.20 8:57:26	3.27.20 8:58:51	anonymous		karantäne	Südafrika 	Nordrhein-Westfalen	61-70
538	3.27.20 9:02:44	3.27.20 9:06:49	anonymous		kwarantäne	Berlin	Berlin	51-60
539	3.27.20 9:15:21	3.27.20 9:15:55	anonymous		karantäne	Sachsen	Sachsen	18-30
540	3.27.20 9:25:42	3.27.20 9:26:13	anonymous		karantäne	Hessen	Berlin	18-30
541	3.27.20 11:16:55	3.27.20 11:17:45	anonymous		karantäne	Schleswig-Holstein	Berlin	31-40
542	3.27.20 11:20:47	3.27.20 11:21:27	anonymous		karantäne	Hamburg	Hamburg	18-30
543	3.27.20 11:37:52	3.27.20 11:38:19	anonymous		karantäne	Hessen	Bayern	31-40
544	3.27.20 11:41:04	3.27.20 11:41:45	anonymous		karantäne	Nordrhein-Westfalen	Hessen	61-70
545	3.27.20 12:09:53	3.27.20 12:10:25	anonymous		kwarantäne	Bayern	Bayern	18-30
546	3.27.20 12:04:35	3.27.20 12:10:32	anonymous		karantäne	Bayern	Hessen	31-40
547	3.27.20 12:29:39	3.27.20 12:30:00	anonymous		karantäne	Bayern	Berlin	31-40
548	3.27.20 12:39:22	3.27.20 12:39:52	anonymous		kwarantäne	Bayern	Berlin	61-70
549	3.27.20 13:11:36	3.27.20 13:11:57	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
550	3.27.20 13:17:10	3.27.20 13:17:29	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	18-30
551	3.27.20 13:20:43	3.27.20 13:21:07	anonymous		kwarantäne	Bayern	Bayern	18-30
552	3.27.20 13:23:03	3.27.20 13:23:28	anonymous		kwarantäne	Bayern	Bayern	51-60
553	3.27.20 13:33:35	3.27.20 13:33:57	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
554	3.27.20 13:33:34	3.27.20 13:34:06	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
555	3.27.20 13:42:12	3.27.20 13:42:27	anonymous		karantäne	Bayern	Bayern	31-40
556	3.27.20 13:42:09	3.27.20 13:42:32	anonymous		karantäne	Bayern	Bayern	18-30
557	3.27.20 13:55:39	3.27.20 13:57:52	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	18-30
558	3.27.20 14:08:39	3.27.20 14:09:13	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
559	3.27.20 14:14:49	3.27.20 14:15:06	anonymous		karantäne	Bayern	Bayern	18-30
560	3.27.20 14:18:42	3.27.20 14:19:02	anonymous		karantäne	Niedersachsen	Baden-Württemberg	18-30
561	3.27.20 14:20:28	3.27.20 14:20:52	anonymous		karantäne	Hessen	Hessen	18-30
562	3.27.20 14:46:57	3.27.20 14:47:52	anonymous		karantäne	Saarland	Saarland	18-30
563	3.27.20 14:52:44	3.27.20 14:53:18	anonymous		karantäne	Schleswig-Holstein	Hamburg	18-30
564	3.27.20 14:56:45	3.27.20 14:57:01	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
565	3.27.20 14:56:55	3.27.20 14:57:20	anonymous		karantäne	Saarland	Saarland	31-40
566	3.27.20 15:00:46	3.27.20 15:01:12	anonymous		karantäne	Nordrhein-Westfalen	Berlin	18-30
567	3.27.20 15:17:50	3.27.20 15:25:34	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
568	3.27.20 16:53:31	3.27.20 16:54:46	anonymous		kwarantäne	Österreich	Österreich	41-50
569	3.27.20 17:10:29	3.27.20 17:10:40	anonymous		kwarantäne	Hessen	Hessen	18-30
570	3.27.20 17:17:01	3.27.20 17:18:07	anonymous		karantäne	Hessen	Nordrhein-Westfalen	31-40
571	3.27.20 17:20:13	3.27.20 17:20:59	anonymous		karantäne	Bayern	Bayern	51-60
572	3.27.20 18:14:13	3.27.20 18:15:17	anonymous		karantäne	Brandenburg	Sachsen	31-40
573	3.27.20 19:15:21	3.27.20 19:15:43	anonymous		kwarantäne	Bayern	Bayern	18-30
574	3.27.20 19:21:37	3.27.20 19:22:14	anonymous		karantäne	Niedersachsen	Hessen	18-30
575	3.27.20 19:12:58	3.27.20 19:44:57	anonymous		karantäne	Nordrhein-Westfalen	Berlin	31-40
576	3.27.20 20:00:31	3.27.20 20:00:51	anonymous		kwarantäne	Rheinland-Pfalz	Rheinland-Pfalz	31-40
577	3.27.20 20:21:51	3.27.20 20:22:51	anonymous		karantäne	Hessen	Berlin	51-60
578	3.27.20 20:34:07	3.27.20 20:34:23	anonymous		karantäne	Baden-Württemberg	Nordrhein-Westfalen	18-30
579	3.27.20 20:51:18	3.27.20 20:51:45	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
580	3.27.20 21:18:50	3.27.20 21:19:11	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	18-30
581	3.27.20 21:34:24	3.27.20 21:35:02	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
582	3.27.20 21:36:48	3.27.20 21:37:15	anonymous		karantäne	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern	31-40
583	3.27.20 21:48:56	3.27.20 21:49:28	anonymous		kwarantäne	Berlin	Berlin	18-30
584	3.27.20 22:02:13	3.27.20 22:02:49	anonymous		karantäne	Berlin	Berlin	41-50
585	3.27.20 22:03:22	3.27.20 22:06:51	anonymous		karantäne	Saarland	Saarland	31-40
586	3.27.20 22:08:20	3.27.20 22:09:06	anonymous		karantäne	Brandenburg	Schweiz	41-50
587	3.27.20 22:12:46	3.27.20 22:13:22	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
588	3.27.20 22:19:31	3.27.20 22:19:51	anonymous		karantäne	Sachsen	Sachsen	18-30
589	3.27.20 22:20:28	3.27.20 22:21:34	anonymous		kwarantäne	Bayern	Berlin	31-40
590	3.27.20 22:45:14	3.27.20 22:46:26	anonymous		karantäne	Hessen	Hessen	31-40
591	3.27.20 22:49:46	3.27.20 22:50:09	anonymous		karantäne	Schleswig-Holstein	Hamburg	31-40
592	3.27.20 23:42:10	3.27.20 23:42:45	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
593	3.27.20 23:46:00	3.27.20 23:48:55	anonymous		karantäne	Hessen	Hessen	31-40
594	3.27.20 23:56:13	3.27.20 23:56:50	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	18-30
595	3.28.20 0:28:47	3.28.20 0:29:24	anonymous		karantäne	Wien 	Österreich 	31-40
596	3.28.20 0:38:11	3.28.20 0:38:27	anonymous		karantäne	Bayern	Bayern	18-30
597	3.28.20 0:51:53	3.28.20 0:53:08	anonymous		karantäne	Rheinland-Pfalz	Hessen	18-30
598	3.28.20 0:43:17	3.28.20 1:18:50	anonymous		karantäne	Berlin	Berlin	31-40
599	3.28.20 1:30:09	3.28.20 1:30:46	anonymous		karantäne	Hamburg	Hamburg	31-40
600	3.28.20 2:12:44	3.28.20 2:13:34	anonymous		karantäne	Baden-Württemberg	Sachsen	41-50
601	3.28.20 2:20:29	3.28.20 2:21:12	anonymous		kwarantäne	Baden-Württemberg	Baden-Württemberg	41-50
602	3.28.20 2:29:31	3.28.20 2:30:08	anonymous		karantäne	Niedersachsen	Niedersachsen	41-50
603	3.28.20 2:37:04	3.28.20 2:37:57	anonymous		kwarantäne	Bayern	Bayern	31-40
604	3.28.20 2:50:56	3.28.20 2:51:20	anonymous		kwarantäne	Bayern	Bayern	41-50
605	3.28.20 2:55:08	3.28.20 2:55:46	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
606	3.28.20 3:33:47	3.28.20 3:34:26	anonymous		karantäne	Sachsen	Sachsen	41-50
607	3.28.20 4:31:51	3.28.20 4:32:42	anonymous		karantäne	Nordrhein-Westfalen	Sachsen	18-30
608	3.28.20 4:52:02	3.28.20 4:53:08	anonymous		kwarantäne	Sachsen	Sachsen	51-60
609	3.28.20 4:58:06	3.28.20 4:59:09	anonymous		kwarantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
610	3.28.20 5:06:47	3.28.20 5:07:38	anonymous		karantäne	Sachsen	Hamburg	41-50
611	3.28.20 5:07:44	3.28.20 5:08:01	anonymous		karantäne	Baden-Württemberg	Hamburg	51-60
612	3.28.20 5:08:03	3.28.20 5:08:17	anonymous		karantäne	Hamburg	Hamburg	Unter 18
613	3.28.20 5:27:54	3.28.20 5:28:31	anonymous		karantäne	Bayern	Bayern	41-50
614	3.28.20 6:26:20	3.28.20 6:27:17	anonymous		karantäne	Sachsen	Hamburg	41-50
615	3.28.20 6:36:54	3.28.20 6:37:40	anonymous		kwarantäne	Bayern	Zürich 	31-40
616	3.28.20 6:53:21	3.28.20 6:53:48	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
617	3.28.20 6:58:45	3.28.20 7:02:32	anonymous		karantäne	Sachsen	Baden-Württemberg	41-50
618	3.28.20 7:11:50	3.28.20 7:12:43	anonymous		karantäne	Niedersachsen	Hessen	31-40
619	3.28.20 7:19:52	3.28.20 7:20:25	anonymous		karantäne	Rheinland-Pfalz	Niedersachsen	51-60
620	3.28.20 7:37:21	3.28.20 7:37:51	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
621	3.28.20 7:46:42	3.28.20 7:47:15	anonymous		karantäne	Sachsen	Bremen	41-50
622	3.28.20 7:51:13	3.28.20 7:52:11	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	41-50
623	3.28.20 7:52:58	3.28.20 7:53:43	anonymous		kwarantäne	Berlin	Berlin	51-60
624	3.28.20 7:57:36	3.28.20 7:58:37	anonymous		karantäne	Bremen	Bremen	51-60
625	3.28.20 8:02:27	3.28.20 8:03:19	anonymous		karantäne	Sachsen-Anhalt	Sachsen	51-60
626	3.28.20 8:06:39	3.28.20 8:07:17	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	41-50
627	3.28.20 8:06:57	3.28.20 8:07:47	anonymous		karantäne	Niedersachsen	Niedersachsen	51-60
628	3.28.20 8:07:29	3.28.20 8:08:00	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
629	3.28.20 8:06:51	3.28.20 8:08:53	anonymous		karantäne	Sachsen	Sachsen	31-40
630	3.28.20 8:14:45	3.28.20 8:15:37	anonymous		kwarantäne	Sachsen	Sachsen	41-50
631	3.28.20 8:17:07	3.28.20 8:17:50	anonymous		karantäne	Bayern	Bayern	51-60
632	3.28.20 8:18:48	3.28.20 8:19:16	anonymous		karantäne	Bayern	Hessen	41-50
633	3.28.20 8:24:03	3.28.20 8:26:56	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
634	3.28.20 8:29:49	3.28.20 8:31:08	anonymous		karantäne	Bayern	Bayern	31-40
635	3.28.20 8:31:02	3.28.20 8:31:28	anonymous		karantäne	Hessen	Hessen	51-60
636	3.28.20 8:31:02	3.28.20 8:31:28	anonymous		karantäne	Hessen	Hessen	51-60
637	3.28.20 8:31:28	3.28.20 8:33:24	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
638	3.28.20 8:46:02	3.28.20 8:46:37	anonymous		kwarantäne	Nordrhein-Westfalen	Berlin	51-60
639	3.28.20 8:53:08	3.28.20 8:53:48	anonymous		karantäne	Saarland	Saarland	51-60
640	3.28.20 8:53:30	3.28.20 8:53:51	anonymous		karantäne	Niedersachsen	Niedersachsen	31-40
641	3.28.20 9:02:37	3.28.20 9:03:13	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	41-50
642	3.28.20 9:02:53	3.28.20 9:03:29	anonymous		kwarantäne	Österreich	Nordrhein-Westfalen	51-60
643	3.28.20 9:04:53	3.28.20 9:05:50	anonymous		kwarantäne	Nordrhein-Westfalen	Niedersachsen	51-60
644	3.28.20 9:06:59	3.28.20 9:07:28	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
645	3.28.20 9:08:27	3.28.20 9:09:17	anonymous		karantäne	Hamburg	Schleswig-Holstein	31-40
646	3.28.20 9:10:53	3.28.20 9:11:32	anonymous		karantäne	Sachsen-Anhalt	Bayern	41-50
647	3.28.20 9:16:06	3.28.20 9:16:55	anonymous		karantäne	Baden-Württemberg	Schleswig-Holstein	41-50
648	3.28.20 9:23:54	3.28.20 9:24:42	anonymous		karantäne	Sachsen	Sachsen	31-40
649	3.28.20 9:28:37	3.28.20 9:29:07	anonymous		karantäne	Niedersachsen	Niedersachsen	51-60
650	3.28.20 9:29:57	3.28.20 9:30:49	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
651	3.28.20 9:30:43	3.28.20 9:31:49	anonymous		karantäne	Hessen	Hessen	61-70
652	3.28.20 9:31:41	3.28.20 9:32:18	anonymous		karantäne	Berlin	Berlin	31-40
653	3.28.20 9:34:10	3.28.20 9:34:51	anonymous		karantäne	Rheinland-Pfalz	Berlin	31-40
654	3.28.20 9:34:26	3.28.20 9:35:14	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	31-40
655	3.28.20 9:34:42	3.28.20 9:35:14	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	51-60
656	3.28.20 9:35:07	3.28.20 9:36:04	anonymous		kwarantäne	Sachsen	Sachsen	18-30
657	3.28.20 9:39:13	3.28.20 9:40:13	anonymous		karantäne	Hamburg	Sachsen	31-40
658	3.28.20 9:40:23	3.28.20 9:41:21	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
659	3.28.20 9:43:27	3.28.20 9:43:52	anonymous		kwarantäne	Bayern	Bayern	51-60
660	3.28.20 9:35:02	3.28.20 9:45:06	anonymous		karantäne	Nordrhein-Westfalen	Baden-Württemberg	41-50
661	3.28.20 9:50:42	3.28.20 9:51:21	anonymous		kwarantäne	Sachsen	Sachsen	51-60
662	3.28.20 9:56:50	3.28.20 9:57:29	anonymous		kwarantäne	Hessen	Nordrhein-Westfalen	18-30
663	3.28.20 9:58:55	3.28.20 9:59:43	anonymous		kwarantäne	Hessen	Hessen	41-50
664	3.28.20 10:08:16	3.28.20 10:09:05	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	41-50
665	3.28.20 10:10:18	3.28.20 10:10:55	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	51-60
666	3.28.20 10:14:11	3.28.20 10:14:52	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	51-60
667	3.28.20 10:17:33	3.28.20 10:19:46	anonymous		kwarantäne	Österreich	Österreich	51-60
668	3.28.20 10:26:23	3.28.20 10:27:11	anonymous		karantäne	Belgien	Belgien	41-50
669	3.28.20 11:02:16	3.28.20 11:03:31	anonymous		kwarantäne	Sachsen-Anhalt	Sachsen-Anhalt	18-30
670	3.28.20 11:26:29	3.28.20 11:27:02	anonymous		karantäne	Sachsen	Sachsen	18-30
671	3.28.20 11:28:11	3.28.20 11:28:46	anonymous		kwarantäne	Sachsen	Sachsen	31-40
672	3.28.20 11:30:26	3.28.20 11:31:09	anonymous		karantäne	Rheinland-Pfalz	Hessen	41-50
673	3.28.20 11:45:15	3.28.20 11:45:37	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	18-30
674	3.28.20 11:48:08	3.28.20 11:49:29	anonymous		karantäne	Nordrhein-Westfalen	Berlin	31-40
675	3.28.20 11:51:10	3.28.20 11:52:07	anonymous		karantäne	Brandenburg	Schweiz	31-40
676	3.28.20 12:05:54	3.28.20 12:06:28	anonymous		kwarantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
677	3.28.20 12:18:51	3.28.20 12:19:31	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	80+
678	3.28.20 12:24:39	3.28.20 12:26:27	anonymous		kwarantäne	Bayern	Bayern	41-50
679	3.28.20 12:32:28	3.28.20 12:33:07	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	31-40
680	3.28.20 12:40:25	3.28.20 12:41:03	anonymous		kwarantäne	Bayern	Bayern	41-50
681	3.28.20 12:55:58	3.28.20 12:56:26	anonymous		karantäne	Bayern	Bayern	31-40
682	3.28.20 12:59:24	3.28.20 12:59:51	anonymous		karantäne	Baden-Württemberg	Baden-Württemberg	41-50
683	3.28.20 13:05:04	3.28.20 13:05:48	anonymous		karantäne	Bremen	Nordrhein-Westfalen	41-50
684	3.28.20 13:06:06	3.28.20 13:06:57	anonymous		kwarantäne	Berlin	Hessen	41-50
685	3.28.20 13:33:27	3.28.20 13:33:52	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	18-30
686	3.28.20 14:03:39	3.28.20 14:04:21	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	51-60
687	3.28.20 14:33:20	3.28.20 14:34:18	anonymous		karantäne	Niedersachsen	Baden-Württemberg	41-50
688	3.28.20 14:37:36	3.28.20 14:38:27	anonymous		karantäne	Nordrhein-Westfalen	Baden-Württemberg	51-60
689	3.28.20 14:56:31	3.28.20 14:57:43	anonymous		karantäne	Niedersachsen	Schleswig-Holstein	41-50
690	3.28.20 16:27:35	3.28.20 16:28:05	anonymous		karantäne	Berlin	Berlin	61-70
691	3.28.20 16:28:39	3.28.20 16:29:24	anonymous		karantäne	Niedersachsen	Niedersachsen	18-30
692	3.28.20 16:30:13	3.28.20 16:30:40	anonymous		kwarantäne	Sachsen	Sachsen	18-30
693	3.28.20 17:20:35	3.28.20 17:20:59	anonymous		karantäne	Nordrhein-Westfalen	Nordrhein-Westfalen	51-60
694	3.28.20 18:04:57	3.28.20 18:05:56	anonymous		karantäne	Niedersachsen	Niedersachsen	31-40
